id_evt;date_system_evt;date_occur_evt;date_occur_evt_formatted;type_evt;type_equipment;id_equipement;infos_div
1;2020-05-26T01:30:00Z;2020-05-26T00:30:00Z;2020-05-26;EVT_C_10;C;239;
2;2020-06-17T01:30:00Z;2020-06-17T00:30:00Z;2020-06-17;EVT_C_10;C;385;
3;2020-05-31T01:30:00Z;2020-05-31T00:30:00Z;2020-05-31;EVT_C_11;C;110;
4;2020-05-24T01:30:00Z;2020-05-24T00:30:00Z;2020-05-24;EVT_C_11;C;183;
5;2020-06-12T01:30:00Z;2020-06-12T00:30:00Z;2020-06-12;EVT_C_12;C;210;
6;2020-05-05T01:30:00Z;2020-05-05T00:30:00Z;2020-05-05;EVT_C_13;C;386;
7;2020-06-12T01:30:00Z;2020-06-12T00:30:00Z;2020-06-12;EVT_C_12;C;247;
8;2020-06-13T01:30:00Z;2020-06-13T00:30:00Z;2020-06-13;EVT_C_13;C;436;
9;2020-04-27T01:30:00Z;2020-04-27T00:30:00Z;2020-04-27;EVT_C_10;C;280;
10;2020-04-28T01:30:00Z;2020-04-28T00:30:00Z;2020-04-28;EVT_C_11;C;295;
11;2020-05-05T01:30:00Z;2020-05-05T00:30:00Z;2020-05-05;EVT_C_12;C;330;
12;2020-05-13T01:30:00Z;2020-05-13T00:30:00Z;2020-05-13;EVT_C_13;C;257;
13;2020-06-11T01:30:00Z;2020-06-11T00:30:00Z;2020-06-11;EVT_C_10;C;192;
14;2020-04-27T01:30:00Z;2020-04-27T00:30:00Z;2020-04-27;EVT_C_10;C;160;
15;2020-06-01T01:30:00Z;2020-06-01T00:30:00Z;2020-06-01;EVT_C_13;C;380;
16;2020-04-14T01:30:00Z;2020-04-14T00:30:00Z;2020-04-14;EVT_C_11;C;264;
17;2020-06-09T01:30:00Z;2020-06-09T00:30:00Z;2020-06-09;EVT_C_13;C;141;
18;2020-04-26T01:30:00Z;2020-04-26T00:30:00Z;2020-04-26;EVT_C_13;C;232;
19;2020-06-03T01:30:00Z;2020-06-03T00:30:00Z;2020-06-03;EVT_C_10;C;100;
20;2020-04-25T01:30:00Z;2020-04-25T00:30:00Z;2020-04-25;EVT_C_10;C;234;
21;2020-04-23T01:30:00Z;2020-04-23T00:30:00Z;2020-04-23;EVT_C_10;C;325;
22;2020-05-03T01:30:00Z;2020-05-03T00:30:00Z;2020-05-03;EVT_C_11;C;160;
23;2020-06-16T01:30:00Z;2020-06-16T00:30:00Z;2020-06-16;EVT_C_11;C;348;
24;2020-05-07T01:30:00Z;2020-05-07T00:30:00Z;2020-05-07;EVT_C_12;C;264;
25;2020-05-24T01:30:00Z;2020-05-24T00:30:00Z;2020-05-24;EVT_C_12;C;163;
26;2020-05-28T01:30:00Z;2020-05-28T00:30:00Z;2020-05-28;EVT_C_12;C;276;
27;2020-04-25T01:30:00Z;2020-04-25T00:30:00Z;2020-04-25;EVT_C_10;C;493;
28;2020-04-27T01:30:00Z;2020-04-27T00:30:00Z;2020-04-27;EVT_C_12;C;389;
29;2020-06-11T01:30:00Z;2020-06-11T00:30:00Z;2020-06-11;EVT_C_13;C;495;
30;2020-05-06T01:30:00Z;2020-05-06T00:30:00Z;2020-05-06;EVT_C_10;C;339;
31;2020-05-25T01:30:00Z;2020-05-25T00:30:00Z;2020-05-25;EVT_C_11;C;137;
32;2020-04-12T01:30:00Z;2020-04-12T00:30:00Z;2020-04-12;EVT_C_12;C;426;
33;2020-04-26T01:30:00Z;2020-04-26T00:30:00Z;2020-04-26;EVT_C_10;C;137;
34;2020-05-28T01:30:00Z;2020-05-28T00:30:00Z;2020-05-28;EVT_C_13;C;336;
35;2020-04-14T01:30:00Z;2020-04-14T00:30:00Z;2020-04-14;EVT_C_12;C;399;
36;2020-05-01T01:30:00Z;2020-05-01T00:30:00Z;2020-05-01;EVT_C_10;C;345;
37;2020-05-20T01:30:00Z;2020-05-20T00:30:00Z;2020-05-20;EVT_C_12;C;415;
38;2020-06-03T01:30:00Z;2020-06-03T00:30:00Z;2020-06-03;EVT_C_10;C;228;
39;2020-05-16T01:30:00Z;2020-05-16T00:30:00Z;2020-05-16;EVT_C_10;C;415;
40;2020-06-04T01:30:00Z;2020-06-04T00:30:00Z;2020-06-04;EVT_C_10;C;308;
41;2020-05-27T01:30:00Z;2020-05-27T00:30:00Z;2020-05-27;EVT_C_11;C;307;
